id,folder_name,album_slug,album_url,cover_thumbnail_filename,smugmug_image_id,parsed_make,parsed_model,parsed_body_style,parsed_color_raw,luxury_tier,is_vehicle,is_duplicate,missing_thumbnail,is_malformed,is_name_slug_mismatch,homepage_worthy,launch_featured,needs_review
73,Ferrari 488 Spider Silver,Ferrari-488-Spider-Silver,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ferrari-488-Spider-Silver,01-L.jpg,i-Vb9hNpp,Ferrari,488,Convertible/Spyder,,ultra-luxury,true,false,false,false,false,false,false,false
74,Bentley Continental GT Speed,Bentley-Continental-GT-Speed,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Bentley-Continental-GT-Speed,01-L.jpg,i-MtLTqtt,Bentley,Continental,,,ultra-luxury,true,false,false,false,false,false,false,false
75,Group Photos,Group-Photos,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Group-Photos,DDS_3214-L.jpg,i-GGp8B2B,,,,,unknown,false,false,false,false,false,false,false,false
76,Lamborghini Huracan Orange with Black Hood,Lamborghini-Huracan-Orange-with-Black-Hood,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-Orange-with-Black-Hood,DDS_4810-L.jpg,i-8QmzGbM,Lamborghini,Huracan,,,ultra-luxury,true,false,false,false,false,true,false,false
77,Ferrari 488 Spider,Ferrari-488-Spider,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ferrari-488-Spider,01-L.jpg,i-DjvNCsD,Ferrari,488,Convertible/Spyder,,ultra-luxury,true,false,false,false,false,false,false,false
78,Lamborghini Huracan Black,Lamborghini-Huracan-Black,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-Black,01-L.jpg,i-Zdv853L,Lamborghini,Huracan,,,ultra-luxury,true,false,false,false,false,false,false,false
79,Lamborghini Huracan Orange,Lamborghini-Huracan-Orange,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-Orange,01-L.jpg,i-rcFLVLd,Lamborghini,Huracan,,,ultra-luxury,true,false,false,false,false,false,false,false
80,Mercedes C300 Convertible,Mercedes-C300-Convertible,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Mercedes-C300-Convertible,01-L.jpg,i-KRKccQs,Mercedes,C300,Convertible,,standard,true,false,false,false,false,false,false,false
81,Rolls Royce Wraith,Rolls-Royce-Wraith,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Rolls-Royce-Wraith,01-L.jpg,i-DNmftnK,Rolls-Royce,Wraith,Sedan,,ultra-luxury,true,false,false,false,false,false,false,false
82,Chevrolet Corvette,Chevrolet-Corvette,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Chevrolet-Corvette,01-L.jpg,i-MfxRNXT,Chevrolet,Corvette,,,standard,true,false,false,false,false,false,false,false
83,Rolls Royce Dawn,Rolls-Royce-Dawn,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Rolls-Royce-Dawn,01-L.jpg,i-Sc5qR2d,Rolls-Royce,Dawn,,,ultra-luxury,true,false,false,false,false,false,false,false
84,Ferrari 458 Spider,Ferrari-458-Spider,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ferrari-458-Spider,01-L.jpg,i-vTzJrwP,Ferrari,458,Convertible/Spyder,,ultra-luxury,true,false,false,false,false,false,false,false
85,Ford Mustang,Ford-Mustang,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ford-Mustang,01-L.jpg,i-RMhNV8z,Ford,Mustang,,,standard,true,false,false,false,false,false,false,false
